Ivanka Grybcheva,7.9
Merab Kokochashvili,7.9
Yandy Laurens,7.9
Govind Moonis,7.9
Laura Obiols,7.9
Scott Douglas Brown,7.9
Shahidul Islam Khokon,7.9
Bilal Lashari,7.9
Souvik Mitra,7.9
Advait Chandan,7.9
Sameer Vidwans,7.9
Ivan Tymchenko,7.9
Khurram H. Alavi,7.9
Yoshifumi Kondô,7.9
Slobodan Sijan,7.9
Hiroyuki Yamashita,7.9
Quentin Tarantino,7.9
Gunnam Gangaraju,7.9
Ian Russell,7.9
Jacques Boigelot,7.9
Dan Hartley,7.9
Camilo Cavalcante,7.9
Uranchimeg Urtnasan,7.9
Nabil Ayari,7.9
Humayun Ahmed,7.9
Vikram Grover,7.8
Rich Moore,7.8
Ashraf Hamza,7.8
Biju Majeed,7.8
Jean Vigo,7.8
R. Krishnan,7.8
Prashant Pandey,7.8
Chandra Siddhartha,7.8
Carl Koch,7.8
Venu Udugula,7.8
Dhorairaj Bhagavan,7.8
Cheyyar Ravi,7.8
Guillaume de Fontenay,7.8
Erkut Altindag,7.8
Harry Bhatti,7.8
Yukihiro Miyamoto,7.8
Ivo Caprino,7.8
Nick Wickham,7.8
Bruce Timm,7.8
Arabinda Mukhopadhyay,7.8
Ajoy Kar,7.8
Chandra Barot,7.8
David Esbjornson,7.8
Shimit Amin,7.8
Scott Barley,7.8
Daryne Joshua,7.8
Kamal Khan,7.8
Kevin Altieri,7.8
Irene Starewicz,7.8
Ajayan,7.8
Gjorce Stavreski,7.8
S. Panju,7.8
Matthew Bourne,7.8
Bernardo Palmeiro,7.8
Viktor Gjika,7.8
Ante Babaja,7.8
Arunraja Kamaraj,7.8
Shamim Ara,7.8
Wladyslaw Starewicz,7.8
Max Porter,7.8
S.V. Rajendra Singh,7.8
Temur Babluani,7.8
Morteza Momayyez,7.8
Tatsuya Oishi,7.8
Marcell Jankovics,7.8
Teymur Bakirzade,7.8
Peter Ramsey,7.8
Lotte Reiniger,7.8
Kulikar Sotho,7.8
C. Prem Kumar,7.8
Alexis Cahill,7.8
Ishaan Randeria,7.8
Lyudmil Kirkov,7.8
Kevin Jarre,7.8
Adil Isgandarov,7.8
J. Mahendran,7.8
Justinas Krisiunas,7.8
Sundaram Balachander,7.8
Abu Shahed Emon,7.8
JJ Stomp,7.8
David Fincher,7.8
Putrama Tuta,7.8
Victor Bojinov,7.8
Chu Wen,7.8
Houshang Baharlou,7.8
Golam Sohrab Dodul,7.8
Stanley Kubrick,7.8
Johan Bergqvist,7.8
Jim Handley,7.8
Adam Penford,7.8
Petar Lalovic,7.8
Bo Hu,7.8
Pyotr Lutsik,7.8
Eric Radomski,7.8
Ding Xian Yan,7.8
Leon Le,7.8
Kenji Nagasaki,7.8
Lijo Jose Pellissery,7.8
Sailesh Kolanu,7.8
Toshiyuki Kubooka,7.8
Tofig Taghizade,7.8
Dako Dakovski,7.8
Blessy,7.8
Óscar Catacora,7.8
Harsha,7.8
Sudha Kongara,7.8
Martin McDonagh,7.8
Satoshi Kon,7.8
Shôgo Furuya,7.8
Matt Woodward,7.8
Jane Kavcic,7.8
Santha Kumar,7.8
Jingda Xu,7.8
Frank Paur,7.8
Prasad Ramar,7.8
Dan Riba,7.8
Vytautas Zalakevicius,7.8
Amberdeep Singh,7.8
Ramiz Fataliyev,7.8
Dipankar Dipon,7.8
Claude Barras,7.8
Rajeev Patil,7.8
Lucian Alexandrescu,7.8
Harsh Gowda,7.8
Razvan Marculescu,7.8
Tanvir Mokammel,7.8
S.R. Puttana Kanagal,7.8
Abdül Mahmudov,7.8
Jami,7.8
Tengiz Abuladze,7.8
Hanno Höfer,7.8
Gopi Nainar,7.8
Tushar Hiranandani,7.8
Deronte Smith,7.8
Hugh Welchman,7.8
Matjaz Klopcic,7.8
R. Scott Leisk,7.8
David Towner,7.8
Ramu Kariat,7.8
Gheorghe Naghi,7.8
Nora Fingscheidt,7.8
Yevgeni Karelov,7.8
Brigitte Drodtloff,7.8
Krzysztof Kieslowski,7.8
Umesh Nagappagari,7.8
Francisco Ribeiro,7.8
Víctor González,7.8
Elkhan Jafarov,7.8
Jamil Rostami,7.8
Kuntz Agus,7.8
Rick McFarland,7.8
Lev Kulidzhanov,7.8
Jeff D. Johnson,7.8
Anant Thakur,7.8
Quentin Krog,7.8
Guruprasad,7.8
Anil Thomas,7.8
Gregory Austin McConnell,7.8
Mel Gibson,7.7
Gauri Shinde,7.7
Volodymyr Tykhyy,7.7
K.G. George,7.7
Tom Jennings,7.7
Andres Rafael Zabala,7.7
Tatyana Lukashevich,7.7
Takashi Otsuka,7.7
P. Ramesh,7.7
Gorcin Stojanovic,7.7
Yogendra Singh,7.7
Yuriy Chulyukin,7.7
Raimundas Banionis,7.7
Rajesh Krishnan,7.7
Marija Kavtaradze,7.7
Yana Titova,7.7
David Silverman,7.7
Yiannis Typaldos,7.7
Shin Misawa,7.7
Brian Klein,7.7
Jang-Hoon Lee,7.7
Matt Lang,7.7
Kazuya Tsurumaki,7.7
Francisco Vargas,7.7
Adrian Goiginger,7.7
Nitin Bose,7.7
Joe Layton,7.7
Suresh Sangaiah,7.7
Nora Twomey,7.7
Hayato Date,7.7
Ágnes Hranitzky,7.7
Rami Gheit,7.7
Shoko Nakajima,7.7
A. Vincent,7.7
József Nepp,7.7
Nana Harada,7.7
Sigrid Andrea Bernardo,7.7
Morio Asaka,7.7
Ari Maniel Cruz,7.7
Bimal Roy,7.7
Luiz Fernando Carvalho,7.7
Mircea Dragan,7.7
Radha Bharathi,7.7
Martin Tapák,7.7
Saurabh Bhave,7.7
Ernest Prakasa,7.7
Vivek Athreya,7.7
Roman Davydov,7.7
Martin Rosen,7.7
Joy Mathew,7.7
Iskra Babich,7.7
Iosif Shapiro,7.7
Soumendra Padhi,7.7
IYER,7.7
Sajid Ali,7.7
Stephen Hoff,7.7
Suni,7.7
Umang Vyas,7.7
Yonggang Wu,7.7
Abdullah Mohammad Saad,7.7
Kranthi Kumar,7.7
Marc-André Lavoie,7.7
Subhash Agrawal,7.7
Dean DeBlois,7.7
Matthew Amos,7.7
Mikhail Kalatozov,7.7
Lev Atamanov,7.7
Thierno Faty Sow,7.7
Carrie Cracknell,7.7
Oriol Paulo,7.7
Desingh Periyasamy,7.7
Sheshadri,7.7
Fred Fleck,7.7
Vasiliy Shukshin,7.7
James Simone,7.7
Karuna Kumar,7.7
Soni Jörgensen,7.7
Milind Dhaimade,7.7
Yiannis Stravolaimos,7.7
Joze Bevc,7.7
Steven Lewis Simpson,7.7
José Cottinelli Telmo,7.7
Ismail Jillani,7.7
Yasuhiro Takemoto,7.7
Palnati Surya Pratap,7.7
Roger Mainwood,7.7
Tanikella Bharani,7.7
Mathukutty Xavier,7.7
Francis Lee,7.7
Josh Lowell,7.7
Deb Medhekar,7.7
Nitesh Tiwari,7.7
Mariano Llinás,7.7
Kôji Morimoto,7.7
Shona Auerbach,7.7
Chaitanya Tamhane,7.7
Arthur Rosson,7.7
Alamgir Kabir,7.7
Borislav Sharaliev,7.7
Yograj Bhat,7.7
Tapan Sinha,7.7
Mike Mosallam,7.7
Peter Mortimer,7.7
Hasan Kiraç,7.7
Nikola-Kole Angelovski,7.7
Hiroshi Saitô,7.7
Keizô Shimizu,7.7
Gvr Vasu,7.7
Torfinn Iversen,7.7
